Region,Gender,Handedness,Jacket,Age,Colour,Vote
east,female,right,full,new,black,Hillary
south,female,left,full,worn,black,Hillary
south,male,right,full,old,white,Ted
south,female,right,part,old,white,Ted
east,female,right,never,new,white,Bernie
east,female,right,full,new,black,Donald
east,female,right,full,new,white,Ted
east,female,right,full,new,white,Donald
north,female,right,never,new,black,Hillary
north,female,right,part,old,black,Hillary
west,female,right,full,new,black,Donald
south,male,right,full,worn,white,Bernie
east,male,right,full,worn,white,Donald
east,female,right,full,new,white,Ted
east,female,right,part,new,black,Donald
south,female,right,full,worn,white,Donald
west,female,left,part,new,black,Bernie
east,female,right,never,new,white,Bernie
east,female,right,never,new,black,Hillary
east,male,right,full,new,white,Donald
south,female,left,never,worn,black,Bernie
north,female,right,full,new,white,Hillary
east,female,right,full,new,white,Donald
east,male,right,full,old,white,Bernie
east,male,right,part,new,black,Bernie
north,female,right,part,new,white,Hillary
west,male,right,full,worn,white,Hillary
east,male,right,full,new,white,Ted
west,female,right,never,new,white,Ted
east,female,right,full,new,white,Hillary
east,female,right,full,worn,white,Hillary
west,female,right,full,new,white,Donald
east,female,right,full,new,white,Donald
north,female,right,part,old,white,Hillary
east,male,right,full,old,white,Ted
west,male,right,never,new,white,Hillary
west,female,left,full,new,white,Bernie
north,female,right,part,worn,white,Hillary
east,female,right,full,worn,white,Donald
east,female,right,never,worn,black,Ted
north,female,right,never,new,white,Hillary
west,female,right,full,old,white,Bernie
east,female,right,never,new,white,Hillary
south,male,right,full,worn,white,Hillary
north,female,right,part,worn,black,Bernie
north,female,right,part,old,black,Bernie
west,female,right,never,new,black,Ted
north,female,right,full,new,white,Hillary
south,female,right,never,worn,white,Ted
west,female,left,never,worn,black,Donald
east,female,right,full,new,white,Hillary
east,female,right,never,new,white,Hillary
east,female,right,part,new,black,Hillary
east,female,right,full,old,white,Hillary
east,female,right,full,new,white,Donald
north,female,right,part,old,white,Hillary
west,female,right,full,new,white,Ted
west,female,right,full,new,white,Ted
east,female,right,never,worn,black,Ted
north,male,right,full,new,white,Hillary
west,female,right,never,new,black,Hillary
south,female,right,never,worn,white,Hillary
east,female,right,full,new,black,Hillary
north,male,right,full,old,white,Hillary
north,male,right,full,worn,white,Hillary
east,female,right,never,old,white,Ted
west,female,right,never,old,white,Ted
north,female,right,full,worn,white,Hillary
north,male,left,full,old,white,Donald
east,male,right,full,new,black,Bernie
west,male,right,full,new,white,Ted
east,female,left,full,new,white,Bernie
west,female,right,never,new,white,Ted
east,female,right,full,new,white,Donald
north,female,right,full,new,black,Donald
west,female,left,full,new,white,Hillary
east,female,right,full,new,white,Donald
east,male,right,full,old,white,Bernie
north,female,right,full,new,black,Hillary
north,female,right,part,worn,black,Hillary
west,female,right,full,new,white,Bernie
north,male,right,full,new,white,Hillary
north,male,right,full,new,white,Hillary
east,female,right,full,new,white,Hillary
north,male,right,full,old,white,Donald
west,male,right,full,new,white,Ted
east,male,right,full,new,white,Ted
east,male,right,full,new,white,Hillary
east,female,left,full,new,white,Donald
north,male,left,never,new,white,Hillary
south,female,right,part,worn,white,Ted
east,male,right,full,new,white,Hillary
east,male,right,full,old,white,Ted
west,male,right,full,new,white,Ted
east,female,left,full,new,black,Bernie
south,female,right,never,old,black,Hillary
west,female,right,never,new,white,Ted
west,female,left,part,worn,black,Hillary
south,female,right,full,worn,white,Ted
north,female,right,part,new,white,Donald
north,female,left,full,new,black,Hillary
east,female,right,full,new,black,Bernie
east,male,right,full,new,white,Hillary
south,female,right,part,old,white,Hillary
north,male,right,full,new,white,Donald
east,female,right,full,old,white,Donald
south,male,right,full,worn,white,Ted
north,male,right,full,worn,white,Donald
west,female,right,part,new,black,Hillary
north,male,right,full,old,white,Ted
east,female,right,full,new,white,Bernie
east,male,right,full,old,white,Donald
east,female,right,full,new,white,Hillary
south,female,right,never,old,white,Bernie
west,male,right,full,new,white,Ted
south,female,right,full,worn,white,Hillary
south,male,right,full,new,white,Donald
east,female,right,full,new,black,Hillary
east,female,right,full,new,white,Donald
south,female,right,full,worn,black,Bernie
west,female,right,full,new,white,Bernie
west,male,right,part,new,black,Hillary
east,female,right,never,new,white,Hillary
west,female,right,full,new,black,Ted
north,female,right,full,old,white,Hillary
east,female,right,full,new,white,Donald
west,female,right,never,new,white,Donald
north,male,right,full,old,white,Hillary
north,female,right,part,worn,black,Hillary
south,female,right,full,worn,white,Ted
south,female,left,full,old,white,Hillary
east,female,right,full,new,white,Hillary
north,female,right,full,worn,black,Donald
south,female,right,full,old,white,Hillary
east,female,right,full,old,white,Donald
south,female,right,full,worn,white,Hillary
west,male,right,full,new,white,Hillary
east,male,right,full,new,white,Donald
east,female,right,part,new,white,Donald
east,female,right,full,new,white,Ted
west,male,right,full,worn,white,Bernie
east,female,right,part,new,white,Hillary
east,female,right,never,new,white,Donald
west,female,right,full,new,white,Hillary
east,male,right,full,new,white,Bernie
west,male,right,full,new,white,Ted
south,female,right,part,worn,black,Bernie
south,female,right,full,worn,white,Bernie
east,male,left,full,new,white,Bernie
north,male,right,part,new,black,Hillary
east,female,right,full,old,white,Hillary
east,female,right,full,new,white,Ted
north,female,right,full,worn,black,Bernie
west,male,right,full,new,white,Donald
east,female,right,never,new,white,Hillary
east,female,right,full,worn,white,Donald
south,female,right,part,worn,white,Hillary
west,female,right,full,worn,black,Hillary
east,male,left,full,new,white,Donald
east,male,right,full,new,white,Hillary
east,male,right,part,new,black,Bernie
west,female,right,full,new,white,Donald
west,female,left,never,worn,white,Bernie
east,male,right,part,new,black,Donald
east,female,right,part,worn,black,Hillary
west,female,right,never,new,white,Bernie
south,female,right,full,worn,black,Hillary
south,male,right,full,worn,white,Ted
east,female,right,part,new,white,Ted
north,female,right,full,worn,black,Hillary
west,male,right,full,worn,white,Bernie
north,female,right,full,worn,white,Ted
north,female,right,full,new,white,Hillary
north,female,right,full,old,black,Bernie
north,female,right,never,old,black,Bernie
north,female,right,never,old,black,Ted
north,female,right,full,old,white,Bernie
east,female,right,never,new,black,Ted
north,female,right,never,new,black,Donald
south,female,right,part,worn,white,Donald
south,female,right,full,new,white,Donald
north,male,right,part,new,black,Hillary
north,female,right,full,worn,black,Bernie
east,male,right,full,new,white,Ted
south,female,right,full,worn,white,Ted
east,female,right,never,new,white,Donald
east,female,right,never,old,black,Donald
east,female,right,full,new,white,Donald
west,female,right,full,new,black,Bernie
east,male,right,full,new,white,Donald
east,female,right,part,new,black,Donald
west,female,right,full,new,white,Ted
east,female,right,full,new,white,Hillary
east,female,left,full,new,white,Donald
south,male,right,full,worn,white,Hillary
east,female,left,full,new,white,Ted
east,male,right,part,new,black,Bernie
west,female,right,part,new,black,Bernie
east,female,right,full,new,white,Ted
south,male,right,full,old,white,Ted
east,female,right,never,old,white,Donald
east,female,right,full,new,white,Donald
west,female,right,never,worn,white,Ted
west,female,left,full,new,white,Ted
south,female,right,part,new,white,Donald
north,male,right,full,old,black,Bernie
east,female,right,full,new,white,Donald
south,female,right,full,worn,white,Hillary
south,female,right,part,worn,black,Bernie
east,female,right,full,new,white,Donald
north,female,right,full,old,white,Hillary
north,female,right,full,new,white,Donald
north,male,right,part,new,black,Hillary
north,female,right,full,new,black,Hillary
east,female,right,full,new,black,Hillary
west,female,right,full,worn,black,Donald
east,male,left,full,new,white,Donald
west,female,right,full,new,white,Donald
north,female,left,full,old,white,Donald
north,male,right,full,old,white,Ted
east,female,right,full,worn,white,Donald
north,male,right,full,new,black,Donald
east,female,left,never,new,white,Donald
west,female,right,part,new,black,Hillary
south,male,right,full,worn,white,Bernie
east,female,left,full,new,white,Donald
east,female,left,never,worn,black,Ted
east,female,right,never,new,white,Donald
west,male,right,full,old,white,Hillary
east,female,left,full,new,white,Donald
east,female,right,full,old,white,Ted
north,male,right,full,new,white,Donald
north,male,right,part,worn,black,Hillary
west,male,right,part,new,black,Ted
north,male,left,full,worn,white,Donald
east,female,right,full,new,white,Hillary
east,female,left,full,new,black,Donald
east,female,right,part,new,white,Donald
north,female,right,part,new,black,Hillary
east,male,right,full,new,black,Ted
east,female,right,part,worn,white,Donald
east,female,right,full,new,white,Ted
west,female,right,full,new,white,Donald
west,male,right,part,old,black,Hillary
east,female,right,full,new,white,Donald
north,female,right,full,new,white,Hillary
east,female,right,full,new,white,Ted
east,female,right,full,new,black,Bernie
south,male,right,full,worn,white,Hillary
east,male,right,full,new,white,Ted
west,female,right,part,new,black,Bernie
east,female,right,full,new,black,Bernie
east,female,left,full,new,white,Hillary
south,female,right,full,new,white,Donald
west,female,right,full,new,white,Donald
west,female,left,full,new,white,Donald
west,female,right,full,old,white,Hillary
east,female,left,part,new,black,Hillary
west,male,left,never,worn,white,Bernie
west,female,right,full,worn,white,Hillary
north,female,right,never,old,black,Bernie
east,female,right,full,new,black,Ted
north,female,left,part,old,black,Hillary
east,female,right,full,new,white,Ted
east,male,right,part,old,black,Donald
east,female,left,never,new,white,Donald
east,female,right,full,new,white,Ted
east,male,right,part,old,black,Donald
east,female,left,full,new,black,Donald
east,female,right,full,worn,white,Donald
east,female,right,full,new,black,Ted
east,male,right,never,new,white,Donald
north,female,right,full,new,white,Bernie
west,female,right,part,new,white,Donald
north,male,right,full,worn,white,Ted
east,female,right,part,new,black,Bernie
east,male,right,full,new,black,Donald
north,female,right,full,worn,white,Hillary
north,female,right,part,new,black,Donald
east,female,right,part,new,black,Bernie
south,male,right,full,old,white,Donald
east,male,right,full,old,white,Donald
north,female,right,never,old,white,Ted
west,female,right,part,worn,black,Ted
east,male,right,part,new,black,Bernie
north,female,right,full,new,white,Donald
east,female,right,full,new,white,Donald
west,female,right,part,new,white,Bernie
west,female,right,full,new,white,Donald
east,female,right,full,new,black,Bernie
north,female,right,full,worn,white,Donald
east,female,right,never,new,white,Hillary
east,female,left,full,new,white,Donald
east,female,right,never,new,white,Hillary
east,female,right,part,new,white,Donald
west,female,left,part,new,black,Bernie
north,female,right,never,new,white,Donald
north,male,right,full,new,white,Donald
east,female,right,full,new,black,Bernie
south,female,right,part,old,black,Bernie
west,female,right,full,worn,white,Hillary
north,female,left,never,new,white,Hillary
east,female,right,never,new,white,Hillary
south,female,right,full,old,black,Donald
north,female,right,part,new,white,Donald
north,female,right,never,old,black,Bernie
west,female,left,full,new,white,Bernie
west,female,right,full,old,black,Hillary
west,male,right,part,new,black,Ted
west,female,right,part,new,white,Ted
north,female,right,part,new,white,Bernie
north,female,right,full,new,white,Hillary
north,female,right,full,old,white,Hillary
north,male,right,full,new,white,Bernie
west,male,right,full,new,white,Ted
west,male,right,never,new,black,Bernie
west,female,right,part,new,black,Bernie
south,female,left,full,worn,white,Hillary
south,female,left,full,old,black,Bernie
east,female,right,full,worn,black,Hillary
south,female,right,never,worn,black,Hillary
west,female,right,full,new,black,Donald
west,female,right,part,new,black,Hillary
east,male,right,full,new,black,Bernie
east,male,right,full,new,white,Donald
east,female,right,full,new,white,Bernie
south,male,right,full,old,white,Hillary
west,female,right,full,worn,white,Ted
north,female,right,full,new,black,Bernie
south,male,right,part,new,black,Hillary
east,male,left,full,new,white,Hillary
east,female,right,full,new,white,Hillary
east,female,right,full,new,white,Donald
east,female,right,never,new,white,Hillary
east,female,right,part,new,black,Hillary
east,female,right,full,new,white,Donald
east,male,right,full,new,white,Ted
west,female,right,full,new,white,Hillary
south,male,right,full,worn,white,Hillary
east,female,right,full,new,white,Donald
north,male,right,full,worn,white,Donald
east,female,right,full,new,white,Bernie
east,female,right,part,new,white,Ted
north,female,right,full,worn,white,Donald
west,male,right,full,worn,white,Bernie
north,female,right,full,old,black,Bernie
south,female,right,never,old,white,Ted
east,female,right,full,old,white,Donald
north,male,right,full,worn,white,Donald
west,female,right,full,new,black,Bernie
east,male,right,full,new,white,Donald
south,female,right,full,old,white,Hillary
south,female,right,part,new,white,Ted
east,male,right,full,new,white,Donald
east,male,right,full,old,white,Ted
east,female,right,part,new,white,Hillary
east,female,right,never,new,white,Bernie
east,male,right,full,new,white,Donald
east,male,right,full,old,white,Hillary
east,male,right,full,new,white,Ted
west,male,right,part,new,black,Bernie
north,male,right,full,old,white,Bernie
south,female,right,part,worn,white,Hillary
west,female,right,full,new,white,Ted
east,female,right,never,new,white,Bernie
east,female,right,part,new,black,Ted
east,female,right,never,new,white,Donald
east,male,right,full,new,black,Ted
west,female,right,never,new,white,Bernie
east,female,right,full,new,black,Bernie
south,male,right,full,old,white,Hillary
east,male,right,part,new,black,Hillary
east,female,right,full,worn,white,Donald
east,female,right,full,new,white,Ted
east,female,right,full,new,white,Ted
west,female,right,full,worn,black,Donald
east,female,right,never,new,white,Hillary
south,female,right,full,old,black,Donald
east,female,left,never,worn,black,Hillary
east,female,left,full,new,white,Hillary
east,male,right,full,new,white,Donald
south,female,left,full,worn,black,Hillary
east,male,right,full,new,white,Donald
north,male,left,full,worn,white,Donald
east,female,right,full,new,white,Ted
east,female,left,full,new,white,Hillary
east,female,right,never,new,white,Hillary
east,female,right,full,new,white,Donald
west,male,right,part,worn,black,Hillary
west,female,left,full,new,white,Ted
east,female,right,never,new,white,Donald
south,female,right,full,old,white,Donald
east,female,left,full,new,white,Hillary
east,female,left,full,new,white,Ted
west,female,right,part,new,black,Ted
east,female,right,full,old,white,Donald
east,female,right,part,new,black,Donald
west,female,left,never,new,white,Ted
north,male,right,part,new,black,Donald
east,female,right,full,new,black,Bernie
east,male,right,part,new,black,Bernie
east,female,right,full,new,white,Hillary
east,female,right,never,new,white,Donald
west,female,right,full,new,white,Ted
east,male,left,full,new,white,Donald
east,female,right,part,new,black,Ted
east,female,right,full,new,white,Hillary
south,male,left,full,old,white,Donald
east,male,right,full,new,black,Ted
south,male,right,full,old,white,Ted
east,female,left,never,new,white,Ted
north,female,right,full,new,white,Donald
east,male,right,full,new,white,Ted
north,female,right,full,worn,white,Donald
west,female,right,part,worn,black,Bernie
east,female,right,never,new,white,Ted
east,female,right,part,new,black,Bernie
east,male,right,part,new,black,Bernie
east,female,right,full,new,white,Hillary
south,female,right,full,old,white,Bernie
north,male,right,full,old,white,Donald
east,female,right,never,new,white,Hillary
east,female,right,part,new,white,Hillary
north,female,right,never,old,white,Hillary
east,female,right,never,new,white,Ted
east,female,right,full,new,white,Donald
east,male,right,full,new,white,Hillary
east,female,left,full,new,black,Bernie
west,male,left,part,new,black,Donald
east,male,right,full,new,white,Hillary
north,female,right,full,new,white,Hillary
east,female,right,part,new,white,Hillary
north,male,right,full,new,white,Ted
east,female,right,never,new,black,Donald
east,female,right,full,new,white,Bernie
south,male,right,full,old,white,Bernie
south,female,left,part,worn,black,Hillary
east,female,right,never,new,white,Donald
west,male,right,full,worn,white,Donald
east,female,right,full,new,black,Donald
east,male,right,full,new,white,Donald
east,male,right,full,new,white,Donald
north,male,right,part,worn,black,Bernie
east,female,right,part,new,white,Hillary
east,female,right,full,new,white,Ted
north,male,right,full,new,white,Bernie
south,male,right,full,worn,white,Donald
west,male,right,full,worn,black,Donald
west,female,right,part,old,black,Bernie
north,male,right,full,new,white,Donald
north,female,right,full,worn,white,Donald
west,female,right,full,new,black,Bernie
east,female,right,full,new,black,Donald
north,female,right,never,old,black,Donald
east,female,right,never,old,white,Ted
east,male,right,full,new,white,Ted
east,female,right,full,new,white,Donald
east,female,right,never,new,black,Bernie
east,female,left,full,new,black,Bernie
east,female,right,never,new,white,Ted
east,male,right,full,old,white,Donald
east,female,right,full,new,white,Hillary
east,female,right,full,worn,white,Donald
east,female,left,full,new,white,Donald
east,female,right,full,new,white,Donald
north,female,right,full,worn,black,Hillary
east,male,left,full,new,white,Hillary
south,female,right,never,worn,white,Hillary
north,female,right,part,new,white,Donald
east,female,right,never,new,black,Bernie
east,male,right,full,new,black,Bernie
west,female,right,full,new,white,Ted
east,male,right,full,new,white,Hillary
west,female,right,full,new,white,Donald
east,female,right,full,new,white,Ted
west,female,right,full,new,black,Ted
east,female,right,never,new,white,Donald
east,male,right,part,new,black,Hillary
east,male,right,full,new,black,Bernie
east,male,right,full,new,white,Hillary
east,male,right,full,new,white,Ted
west,female,right,full,new,black,Hillary
east,female,right,full,new,white,Donald
north,female,right,full,new,black,Hillary
north,female,right,never,new,black,Donald
north,female,right,never,worn,white,Donald
east,female,right,full,new,white,Hillary
east,male,left,full,new,white,Ted
east,female,right,full,worn,white,Donald
north,female,right,part,old,black,Bernie
east,male,right,full,new,white,Ted
east,female,left,full,worn,white,Donald
south,female,right,full,old,white,Hillary
east,female,right,never,new,white,Hillary
west,female,left,full,new,white,Ted
north,female,right,full,worn,white,Donald
east,female,right,part,new,black,Ted
south,female,right,full,old,white,Ted
east,female,right,full,old,white,Donald
east,male,right,full,new,white,Bernie
east,female,right,part,new,white,Hillary
east,female,right,never,new,black,Bernie
east,female,left,part,new,black,Donald
north,female,right,full,new,white,Hillary
south,female,right,full,worn,black,Ted
south,female,right,part,old,white,Ted
east,female,right,never,new,black,Donald
east,female,right,never,new,white,Hillary
north,female,left,full,old,white,Bernie
south,female,right,full,worn,white,Bernie
south,male,right,full,new,white,Donald
east,female,right,full,new,white,Donald
east,male,left,full,worn,white,Ted
east,male,left,full,old,white,Ted
east,female,right,part,new,black,Bernie
north,male,right,never,new,white,Donald
north,male,right,part,old,black,Bernie
east,female,left,never,new,white,Hillary
east,male,right,full,new,white,Donald
north,male,right,full,worn,white,Hillary
south,female,right,full,worn,white,Hillary
east,male,right,full,new,white,Donald
east,male,right,part,new,black,Donald
east,female,right,part,new,white,Donald
north,male,right,full,new,white,Donald
east,female,right,full,old,black,Hillary
north,female,right,never,new,white,Donald
west,female,right,full,new,white,Ted
east,female,right,full,new,black,Ted
east,male,right,never,new,white,Ted
east,male,right,full,new,white,Hillary
north,male,right,full,worn,white,Donald
north,female,right,full,new,white,Hillary
north,male,right,full,new,white,Donald
north,male,right,full,old,black,Hillary
west,female,right,never,new,white,Ted
north,female,right,full,new,white,Hillary
north,female,right,full,worn,white,Donald
east,female,right,part,new,black,Hillary
east,female,left,full,new,white,Hillary
north,female,right,full,new,white,Hillary
east,female,right,never,new,black,Ted
east,male,right,full,new,white,Donald
east,female,right,part,old,black,Bernie
south,female,right,full,old,white,Ted
east,female,right,part,new,black,Bernie
west,male,right,full,worn,black,Donald
north,male,left,full,old,white,Donald
west,female,right,part,new,black,Bernie
north,female,right,never,new,white,Hillary
south,female,right,full,old,white,Ted
east,female,right,full,worn,white,Donald
south,female,right,full,worn,white,Hillary
south,male,right,full,old,white,Bernie
north,female,right,never,old,white,Hillary
east,male,right,full,worn,white,Donald
south,female,right,full,worn,white,Ted
south,female,right,never,worn,white,Donald
north,female,right,full,new,white,Donald
east,female,right,full,new,black,Hillary
north,female,left,never,old,white,Hillary
south,male,right,full,old,white,Hillary
north,female,right,part,new,black,Hillary
east,female,right,full,worn,white,Ted
north,female,right,never,new,black,Hillary
south,female,right,part,old,black,Donald
east,female,right,full,new,black,Hillary
west,male,left,full,worn,white,Bernie
east,female,right,never,new,white,Hillary
west,female,right,full,worn,white,Hillary
east,male,left,full,new,white,Donald
west,male,right,full,old,white,Donald
east,female,right,full,new,white,Hillary
east,female,left,full,new,white,Ted
south,male,right,full,old,white,Hillary
east,female,right,full,new,black,Hillary
west,male,right,part,new,black,Donald
south,female,right,full,worn,white,Bernie
east,female,right,full,new,black,Bernie
north,male,right,part,new,black,Ted
west,female,right,never,new,white,Ted
south,female,right,part,old,black,Donald
east,female,right,full,new,black,Donald
west,female,right,never,new,white,Ted
south,female,left,never,new,white,Hillary
east,female,right,full,old,black,Hillary
north,female,right,never,new,black,Bernie
south,male,left,full,old,white,Ted
east,female,right,never,old,white,Ted
north,female,right,full,new,white,Hillary
west,male,left,full,new,white,Ted
north,female,left,never,new,black,Donald
west,female,left,part,new,white,Ted
east,female,right,full,new,white,Ted
east,female,right,never,new,white,Hillary
east,female,right,full,new,white,Bernie
west,male,right,never,new,black,Ted
west,male,right,part,worn,black,Hillary
south,female,right,part,worn,white,Hillary
south,female,right,full,new,white,Donald
east,female,right,never,old,white,Donald
west,male,right,full,new,white,Donald
north,female,right,full,old,white,Hillary
south,male,right,full,new,white,Ted
east,female,right,full,new,white,Ted
east,female,right,full,new,white,Donald
north,male,right,full,old,white,Ted
east,male,right,full,new,white,Hillary
west,female,right,full,new,black,Donald
east,female,right,full,new,white,Hillary
north,male,right,full,old,white,Donald
east,female,right,full,new,white,Ted
west,male,right,part,old,black,Ted
north,female,right,full,new,white,Donald
east,male,right,full,new,black,Bernie
south,female,right,part,worn,black,Hillary
east,male,right,full,new,white,Donald
west,female,right,full,new,white,Ted
west,female,right,full,new,white,Ted
east,female,right,full,new,white,Bernie
south,female,right,full,new,black,Hillary
north,female,left,never,old,black,Hillary
north,female,right,part,worn,black,Bernie
east,female,right,full,new,white,Ted
east,female,right,full,new,black,Donald
north,female,right,full,worn,black,Donald
east,male,right,part,new,black,Donald
west,male,right,part,new,black,Bernie
east,male,right,full,new,white,Ted
west,male,right,full,old,white,Hillary
north,male,right,full,old,white,Hillary
north,male,right,full,worn,white,Donald
west,female,right,part,new,black,Hillary
east,female,left,full,new,white,Donald
west,male,right,full,worn,white,Ted
north,female,right,full,old,white,Hillary
east,male,right,full,new,white,Hillary
east,female,right,full,new,white,Hillary
west,female,right,never,worn,white,Ted
north,male,right,full,old,white,Hillary
south,female,right,full,worn,white,Ted
south,female,right,full,old,black,Donald
west,male,right,full,new,white,Donald
north,female,right,never,new,black,Donald
east,female,right,full,new,white,Bernie
west,male,left,part,new,black,Bernie
west,male,right,full,new,white,Donald
west,male,right,full,new,white,Bernie
south,female,right,part,worn,white,Donald
east,female,right,full,new,white,Hillary
east,male,right,full,new,white,Donald
west,female,left,never,worn,white,Donald
east,female,right,full,new,white,Donald
south,female,right,full,worn,white,Hillary
east,female,right,full,new,white,Donald
west,female,right,full,new,black,Hillary
north,female,right,full,old,white,Donald
east,female,left,never,worn,white,Bernie
east,female,right,full,new,white,Donald
west,female,right,full,new,white,Bernie
north,male,right,never,new,white,Donald
east,male,right,part,new,black,Bernie
north,female,right,never,new,white,Ted
east,male,left,part,new,black,Hillary
north,male,right,full,new,black,Hillary
north,male,right,full,worn,white,Donald
east,male,right,full,new,white,Ted
east,female,left,full,new,white,Hillary
south,female,right,full,old,white,Hillary
south,female,right,never,worn,white,Hillary
east,male,right,part,new,black,Bernie
east,female,right,part,new,white,Donald
east,male,left,full,new,white,Donald
east,male,right,full,new,white,Hillary
north,female,right,part,worn,white,Ted
west,female,left,never,worn,white,Hillary
north,male,right,full,old,white,Hillary
east,female,right,full,old,white,Donald
north,male,right,full,worn,black,Donald
east,male,right,full,new,white,Donald
east,female,left,full,new,black,Bernie
west,female,left,never,new,white,Ted
east,female,right,part,new,white,Ted
north,male,right,full,new,white,Donald
west,female,right,full,old,black,Hillary
north,female,right,part,worn,black,Hillary
north,female,right,full,old,white,Hillary
west,female,right,full,new,black,Bernie
east,male,left,full,new,white,Donald
west,male,right,full,new,white,Ted
east,female,right,never,new,white,Donald
west,female,right,full,worn,white,Hillary
east,female,right,full,new,white,Bernie
north,female,right,full,new,white,Hillary
east,female,right,full,new,white,Hillary
north,male,right,full,new,white,Ted
south,female,right,full,worn,white,Ted
south,male,left,part,new,black,Hillary
south,female,right,full,worn,white,Hillary
